,Open,High,Low,Close,Volume,Dividends,Stock Splits,AdjClose,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity,finbert-sentiment-score,finbert-bin,market_or_media
2020-01-01 18:00:07+00:00,,,,,,,,,1040.0,News,nyt://article/1c04b687-f4b9-547b-89fd-36e6e62108be,Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,"Artificial intelligence can help doctors do a better job of finding breast cancer on mammograms, researchers from Google and medical centers in the United States and Britain are reporting in the journal Nature.",Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays.,A.I. Is Learning to Read Mammograms,"Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays. Artificial intelligence can help doctors do a better job of finding breast cancer on mammograms, researchers from Google and medical centers in the United States and Britain are reporting in the journal Nature. Computers that are trained to recognize patterns and interpret images may outperform humans at finding cancer on X-rays. A.I. Is Learning to Read Mammograms ",5.0,1.0,-0.0333333333333333,0.5,0.0,0.0,media
2020-01-02 05:00:00+00:00,67.42050170898438,68.43399810791016,67.32450103759766,68.43399810791016,27278000.0,0.0,0.0,68.43399810791016,,,,,,,,,,,,,,,market
2020-01-03 05:00:00+00:00,67.4000015258789,68.6875,67.36599731445312,68.07599639892578,23408000.0,0.0,0.0,68.07599639892578,,,,,,,,,,,,,,,market
2020-01-06 05:00:00+00:00,67.58149719238281,69.91600036621094,67.55000305175781,69.8905029296875,46768000.0,0.0,0.0,69.8905029296875,,,,,,,,,,,,,,,market
2020-01-07 05:00:00+00:00,70.02300262451172,70.17500305175781,69.5780029296875,69.75550079345703,34330000.0,0.0,0.0,69.75550079345703,,,,,,,,,,,,,,,market
2020-01-08 05:00:00+00:00,69.74099731445312,70.59249877929688,69.63150024414062,70.25199890136719,35314000.0,0.0,0.0,70.25199890136719,,,,,,,,,,,,,,,market
2020-01-09 05:00:00+00:00,71.09649658203125,71.43399810791016,70.510498046875,70.989501953125,33200000.0,0.0,0.0,70.989501953125,,,,,,,,,,,,,,,market
2020-01-10 05:00:00+00:00,71.47350311279297,71.74700164794922,70.9800033569336,71.447998046875,26258000.0,0.0,0.0,71.447998046875,,,,,,,,,,,,,,,market
2020-01-10 10:00:25+00:00,,,,,,,,,1368.0,Op-Ed,nyt://article/2d70a983-c533-5261-9d73-65ecc18da722,"For years, I allowed my email to pile up. A trip down the rabbit hole was surprisingly emotional.","I can’t say it was completely unexpected when it first appeared, but it was a shock to the senses nonetheless.","For years, I allowed my email to pile up. A trip down the rabbit hole was surprisingly emotional.",I Went Back Through My Old Emails. It Was Glorious.,"For years, I allowed my email to pile up. A trip down the rabbit hole was surprisingly emotional. I can’t say it was completely unexpected when it first appeared, but it was a shock to the senses nonetheless. For years, I allowed my email to pile up. A trip down the rabbit hole was surprisingly emotional. I Went Back Through My Old Emails. It Was Glorious. ",4.0,0.0,0.0173611111111111,0.4263888888888889,0.0,0.0,media
2020-01-10 18:42:32+00:00,,,,,,,,,844.0,News,nyt://article/d9afe9e5-7de6-5165-8723-56a5516f7b3c,"David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company.","SAN FRANCISCO — David Drummond, the chief legal officer of Google’s parent company, Alphabet, and one of its most senior executives, is leaving the internet giant amid an investigation into his relationships with women who worked at the company.","David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company.",Alphabet’s Chief Legal Officer Stepping Down Amid Investigation,"David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company. SAN FRANCISCO — David Drummond, the chief legal officer of Google’s parent company, Alphabet, and one of its most senior executives, is leaving the internet giant amid an investigation into his relationships with women who worked at the company. David Drummond, who played a key role for the company since it was founded, was being investigated for relationships with several women at the company. Alphabet’s Chief Legal Officer Stepping Down Amid Investigation ",2.0,1.0,0.082716049382716,0.4654320987654321,-0.8054030537605286,-1.0,media
