,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity
0,2020-10-15 20:10:10+00:00,438,News,nyt://article/02669a7b-5dfa-5c38-92bc-10ebcc3938e1,Facebook and Twitter clamped down on an unsubstantiated New York Post article about Hunter Biden. YouTube has gone a different route.,"In all the uproar over how tech companies have handled an unsubstantiated article about Hunter Biden from the New York Post, one major company has stood apart: YouTube.",Facebook and Twitter clamped down on an unsubstantiated New York Post article about Hunter Biden. YouTube has gone a different route.,"In Hubbub Over New York Post Report, YouTube Stands Apart","Facebook and Twitter clamped down on an unsubstantiated New York Post article about Hunter Biden. YouTube has gone a different route. In all the uproar over how tech companies have handled an unsubstantiated article about Hunter Biden from the New York Post, one major company has stood apart: YouTube. Facebook and Twitter clamped down on an unsubstantiated New York Post article about Hunter Biden. YouTube has gone a different route. In Hubbub Over New York Post Report, YouTube Stands Apart ",4,0,0.032982603815937137,0.4551066217732884
1,2021-08-31 17:07:21+00:00,191,News,nyt://article/026a2f96-48f3-5896-916e-badc358da577,It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus.,"Google is pushing back its return-to-office date by three months, to Jan. 10, in a decision that reflects the spread of the highly contagious Delta variant of the coronavirus.",It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus.,Google delays its return to office until January.,"It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus. Google is pushing back its return-to-office date by three months, to Jan. 10, in a decision that reflects the spread of the highly contagious Delta variant of the coronavirus. It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus. Google delays its return to office until January. ",4,2,0.22800000000000004,0.48200000000000004
2,2021-04-12 16:50:18+00:00,607,Letter,nyt://article/02b7abdf-e925-5941-b577-9c2737ba4c97,"Readers discuss formative experiences in the workplace, at Google and elsewhere.",To the Editor:,"Readers discuss formative experiences in the workplace, at Google and elsewhere.",My Job and I: Is This a Love Letter?,"Readers discuss formative experiences in the workplace, at Google and elsewhere. To the Editor: Readers discuss formative experiences in the workplace, at Google and elsewhere. My Job and I: Is This a Love Letter? ",1,2,0.5,0.6
3,2020-10-21 11:56:39+00:00,2057,News,nyt://article/0322b0d5-4d0a-50bf-93f5-2fe37e9d95fd,What you need to know about the antitrust case against the tech giant.,"This Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome the most consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now.",What you need to know about the antitrust case against the tech giant.,What Did Google Do?,"What you need to know about the antitrust case against the tech giant. This Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome the most consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now. What you need to know about the antitrust case against the tech giant. What Did Google Do? ",2,1,0.30624999999999997,0.6822916666666666
4,2020-06-04 22:04:38+00:00,1268,News,nyt://article/044a14cb-41a2-54a5-aef6-273f5b338387,"To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices.","OAKLAND, Calif. — For the last few months, some people who bought a new smartphone in Europe with Google’s Android software were presented with an extra option while setting up the device: choosing a search engine other than Google.","To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices.",Google’s European Search Menu Draws Interest of U.S. Antitrust Investigators,"To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices. OAKLAND, Calif. — For the last few months, some people who bought a new smartphone in Europe with Google’s Android software were presented with an extra option while setting up the device: choosing a search engine other than Google. To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices. Google’s European Search Menu Draws Interest of U.S. Antitrust Investigators ",1,3,-0.023579545454545457,0.13702651515151515
5,2020-04-23 22:02:30+00:00,548,News,nyt://article/04d0f64e-adc2-5127-80a2-a3f2b91a3664,The drinking games and broadcaster clichés live on. But parties will happen virtually. How are you watching? Send us a tweet @nytsports to show us your set up.,"It’s been roughly a month and a half since the last pro basketball or hockey game. March Madness was canceled. Baseball never started. For my group of childhood friends and me, and surely for plenty of others, this year’s N.F.L. draft has become the most important sporting event since the Super Bowl.",The drinking games and broadcaster clichés live on. But parties will happen virtually. How are you watching? Send us a tweet @nytsports to show us your set up.,"He’s Got Fries, Beer and Video Chat. Tell Us How You’re Watching the N.F.L. Draft","The drinking games and broadcaster clichés live on. But parties will happen virtually. How are you watching? Send us a tweet @nytsports to show us your set up. It’s been roughly a month and a half since the last pro basketball or hockey game. March Madness was canceled. Baseball never started. For my group of childhood friends and me, and surely for plenty of others, this year’s N.F.L. draft has become the most important sporting event since the Super Bowl. The drinking games and broadcaster clichés live on. But parties will happen virtually. How are you watching? Send us a tweet @nytsports to show us your set up. He’s Got Fries, Beer and Video Chat. Tell Us How You’re Watching the N.F.L. Draft ",5,0,0.13393939393939394,0.5088888888888888
6,2020-10-08 21:38:26+00:00,775,News,nyt://article/04d8f98c-5431-5cbd-a25a-9181dd9dab38,"The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland.","A federal agency issued a complaint this week against a contractor hired by Google and accused it of violating its employees’ labor rights, marking the latest flash point in a long-running struggle between workers and technology companies.","The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland.",Labor Board Accuses Google Contractor of Violating Union Rights,"The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland. A federal agency issued a complaint this week against a contractor hired by Google and accused it of violating its employees’ labor rights, marking the latest flash point in a long-running struggle between workers and technology companies. The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland. Labor Board Accuses Google Contractor of Violating Union Rights ",1,2,-0.09999999999999999,0.375
7,2020-12-14 10:00:12+00:00,1409,News,nyt://article/062fd36b-55b7-52af-bd70-ba03930c9891,"As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine.","OAKLAND, Calif. — In 2000, just two years after it was founded, Google reached a milestone that would lay the foundation for its dominance over the next 20 years: It became the world’s largest search engine, with an index of more than one billion web pages.","As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine.",Google Dominates Thanks to an Unrivaled View of the Web,"As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine. OAKLAND, Calif. — In 2000, just two years after it was founded, Google reached a milestone that would lay the foundation for its dominance over the next 20 years: It became the world’s largest search engine, with an index of more than one billion web pages. As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine. Google Dominates Thanks to an Unrivaled View of the Web ",5,2,0.10000000000000002,0.5666666666666668
9,2021-02-20 00:11:01+00:00,418,News,nyt://article/07164626-1262-5d2f-bae9-8b59bd4bcb56,"Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems.","Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems.",,A second Google A.I. researcher says the company fired her.,"Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems. Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems.  A second Google A.I. researcher says the company fired her. ",4,3,-0.34285714285714286,0.5714285714285714
10,2020-02-22 22:40:03+00:00,1190,News,nyt://article/0736a7e4-5810-59ca-8636-dfc5bd906e61,"Sophia Maymudes turns up with family (father, David), and turns in a commendable construction.","SUNDAY PUZZLE — The constructor setup today is really sweet and unique, so I’m going to paraphrase Will Shortz’s print introduction.","Sophia Maymudes turns up with family (father, David), and turns in a commendable construction.",Resolved,"Sophia Maymudes turns up with family (father, David), and turns in a commendable construction. SUNDAY PUZZLE — The constructor setup today is really sweet and unique, so I’m going to paraphrase Will Shortz’s print introduction. Sophia Maymudes turns up with family (father, David), and turns in a commendable construction. Resolved ",3,0,0.3625,0.825
