,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity,finbert-sentiment-score,finbert-bin
1,2021-08-31 17:07:21+00:00,191,News,nyt://article/026a2f96-48f3-5896-916e-badc358da577,It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus.,"Google is pushing back its return-to-office date by three months, to Jan. 10, in a decision that reflects the spread of the highly contagious Delta variant of the coronavirus.",It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus.,Google delays its return to office until January.,"It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus. Google is pushing back its return-to-office date by three months, to Jan. 10, in a decision that reflects the spread of the highly contagious Delta variant of the coronavirus. It is the latest company to push back plans for a return in light of the spread of the highly contagious Delta variant of the coronavirus. Google delays its return to office until January. ",4,2,0.228,0.482,-0.7278566360473633,-1
2,2021-04-12 16:50:18+00:00,607,Letter,nyt://article/02b7abdf-e925-5941-b577-9c2737ba4c97,"Readers discuss formative experiences in the workplace, at Google and elsewhere.",To the Editor:,"Readers discuss formative experiences in the workplace, at Google and elsewhere.",My Job and I: Is This a Love Letter?,"Readers discuss formative experiences in the workplace, at Google and elsewhere. To the Editor: Readers discuss formative experiences in the workplace, at Google and elsewhere. My Job and I: Is This a Love Letter? ",1,2,0.5,0.6,0.0,0
3,2020-10-21 11:56:39+00:00,2057,News,nyt://article/0322b0d5-4d0a-50bf-93f5-2fe37e9d95fd,What you need to know about the antitrust case against the tech giant.,"This Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome the most consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now.",What you need to know about the antitrust case against the tech giant.,What Did Google Do?,"What you need to know about the antitrust case against the tech giant. This Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome the most consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now. What you need to know about the antitrust case against the tech giant. What Did Google Do? ",2,1,0.3062499999999999,0.6822916666666666,0.0,0
4,2020-06-04 22:04:38+00:00,1268,News,nyt://article/044a14cb-41a2-54a5-aef6-273f5b338387,"To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices.","OAKLAND, Calif. — For the last few months, some people who bought a new smartphone in Europe with Google’s Android software were presented with an extra option while setting up the device: choosing a search engine other than Google.","To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices.",Google’s European Search Menu Draws Interest of U.S. Antitrust Investigators,"To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices. OAKLAND, Calif. — For the last few months, some people who bought a new smartphone in Europe with Google’s Android software were presented with an extra option while setting up the device: choosing a search engine other than Google. To placate European regulators, the company started giving Android phone users a choice in search engines when they set up their devices. Google’s European Search Menu Draws Interest of U.S. Antitrust Investigators ",1,3,-0.0235795454545454,0.1370265151515151,0.0,0
6,2020-10-08 21:38:26+00:00,775,News,nyt://article/04d8f98c-5431-5cbd-a25a-9181dd9dab38,"The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland.","A federal agency issued a complaint this week against a contractor hired by Google and accused it of violating its employees’ labor rights, marking the latest flash point in a long-running struggle between workers and technology companies.","The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland.",Labor Board Accuses Google Contractor of Violating Union Rights,"The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland. A federal agency issued a complaint this week against a contractor hired by Google and accused it of violating its employees’ labor rights, marking the latest flash point in a long-running struggle between workers and technology companies. The complaint says the contractor, HCL, refused to negotiate with the union and retaliated by shipping work to Poland. Labor Board Accuses Google Contractor of Violating Union Rights ",1,2,-0.0999999999999999,0.375,-0.9551718831062316,-2
7,2020-12-14 10:00:12+00:00,1409,News,nyt://article/062fd36b-55b7-52af-bd70-ba03930c9891,"As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine.","OAKLAND, Calif. — In 2000, just two years after it was founded, Google reached a milestone that would lay the foundation for its dominance over the next 20 years: It became the world’s largest search engine, with an index of more than one billion web pages.","As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine.",Google Dominates Thanks to an Unrivaled View of the Web,"As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine. OAKLAND, Calif. — In 2000, just two years after it was founded, Google reached a milestone that would lay the foundation for its dominance over the next 20 years: It became the world’s largest search engine, with an index of more than one billion web pages. As regulators seek ways to curb the company’s power, there is more focus on the vast index — hundreds of billions of web pages — behind its search engine. Google Dominates Thanks to an Unrivaled View of the Web ",5,2,0.1,0.5666666666666668,0.0,0
9,2021-02-20 00:11:01+00:00,418,News,nyt://article/07164626-1262-5d2f-bae9-8b59bd4bcb56,"Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems.","Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems.",,A second Google A.I. researcher says the company fired her.,"Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems. Two months after the jarring departure of a well-known artificial intelligence researcher at Google, a second A.I. researcher at the company said she was fired after criticizing the way it has treated employees who were working on ways to address bias and toxicity in its artificial intelligence systems.  A second Google A.I. researcher says the company fired her. ",4,3,-0.3428571428571428,0.5714285714285714,-0.9567769765853882,-2
11,2020-10-22 09:00:11+00:00,936,Op-Ed,nyt://article/093473a5-d259-588e-a150-a0d9c4c2786f,The Justice Department is demanding that the company prove its greatness by competing in the market.,"The true significance of the federal antitrust lawsuit filed against Google on Tuesday cannot be captured by any narrow debate about legal doctrine or what the case will mean for the company. This is a big case, filed during an important time, and it merits a commensurately broad understanding. The complaint marks the return of the U.S. government to a role that many of us long feared it had abandoned: disciplining the country’s largest and most powerful monopolies.",The Justice Department is demanding that the company prove its greatness by competing in the market.,"Google, You Can’t Buy Your Way Out of This","The Justice Department is demanding that the company prove its greatness by competing in the market. The true significance of the federal antitrust lawsuit filed against Google on Tuesday cannot be captured by any narrow debate about legal doctrine or what the case will mean for the company. This is a big case, filed during an important time, and it merits a commensurately broad understanding. The complaint marks the return of the U.S. government to a role that many of us long feared it had abandoned: disciplining the country’s largest and most powerful monopolies. The Justice Department is demanding that the company prove its greatness by competing in the market. Google, You Can’t Buy Your Way Out of This ",2,2,0.1208333333333333,0.4958333333333334,0.0,0
15,2021-11-16 12:46:08+00:00,262,News,nyt://article/0d5c22c4-e8b2-57c3-ae3f-c4bcabfc1cbc,"After regulatory fights, the search giant pledged to expand its hiring in the country.","Google announced on Tuesday that it would invest $740 million in Australia over the next five years, promising to build a research hub, increase its cloud computing capacity and team up with government scientists to address challenges like expanding the use of green energy.","After regulatory fights, the search giant pledged to expand its hiring in the country.","Google will invest $740 million in Australia, including a research hub.","After regulatory fights, the search giant pledged to expand its hiring in the country. Google announced on Tuesday that it would invest $740 million in Australia over the next five years, promising to build a research hub, increase its cloud computing capacity and team up with government scientists to address challenges like expanding the use of green energy. After regulatory fights, the search giant pledged to expand its hiring in the country. Google will invest $740 million in Australia, including a research hub. ",4,2,0.0,0.5599999999999999,0.8923125267028809,1
16,2021-10-26 20:36:19+00:00,483,News,nyt://article/0f2c9baa-b0ac-5843-a76e-26735e5da660,The results easily topped analysts’ forecasts.,"Google’s parent company, Alphabet, shrugged off any concerns about a downturn in online advertising with another quarter of blockbuster earnings, lifted by continued strong demand for ads on YouTube and steady growth at its cloud computing business.",The results easily topped analysts’ forecasts.,Google’s profit and revenue soared in the third quarter.,"The results easily topped analysts’ forecasts. Google’s parent company, Alphabet, shrugged off any concerns about a downturn in online advertising with another quarter of blockbuster earnings, lifted by continued strong demand for ads on YouTube and steady growth at its cloud computing business. The results easily topped analysts’ forecasts. Google’s profit and revenue soared in the third quarter. ",5,2,0.2933333333333333,0.58,0.9522884488105774,2
